,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,6656,6656 - Innovation Network for Communities,Innovation Network for Communities,"$75,000.00","$37,500.00",Climate/Climate Resilience/Advance Policy and Implementation,To provide supplemental support for the European climate innovations study trip focused on carbon neutrality and long-term climate resilience,8/2/2016,Grants,2016,Climate
,6700,6700 - Greater Boston Chamber of Commerce,Greater Boston Chamber of Commerce,"$75,000.00","$37,500.00",Sector Effectiveness/Inform Sound Decision-Making/Stimulate Informed Public Discourse,To support its Greater Boston Chamber of Commerce City Awake Delegates program for next-generation civic discourse and leadership,8/31/2016,Grants,2016,SectorEffect
,6700,6700 - Greater Boston Chamber of Commerce,Greater Boston Chamber of Commerce,"$75,000.00","$37,500.00",Sector Effectiveness/Invest in Leadership/Leadership Development,To support its Greater Boston Chamber of Commerce City Awake Delegates program for next-generation civic discourse and leadership,8/31/2016,Grants,2016,SectorEffect
,16-01431,16-01431 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","$40,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support the EGA Environmental Fellowship Program and the placement of four fellows in Barr grantee organizations,11/30/2016,Grants,2016,Climate
,16-01431,16-01431 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","$40,000.00",Climate/Mobility,To support the EGA Environmental Fellowship Program and the placement of four fellows in Barr grantee organizations,11/30/2016,Grants,2016,Climate
,17-06627,17-06627 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","$40,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support the EGA Environmental Fellows Program and the placement of four fellows in Barr grantee organizations,11/21/2017,Grants,2017,Climate
,17-06627,17-06627 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","$40,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support the EGA Environmental Fellows Program and the placement of four fellows in Barr grantee organizations,11/21/2017,Grants,2017,Climate
,21-09284,21-09284 - Innovation Network for Communities,Innovation Network for Communities,"$100,000.00","$80,000.00",Climate/Climate Resilience,To create a climate justice plan for the Green Ribbon Commission,4/27/2021,Grants,2021,Climate
,21-09284,21-09284 - Innovation Network for Communities,Innovation Network for Communities,"$100,000.00","$20,000.00",Climate/Climate (Top Level),To create a climate justice plan for the Green Ribbon Commission,4/27/2021,Grants,2021,Climate
,23-35460,23-35460 - Boston Climate Action Network,Boston Climate Action Network,"$100,000.00","$60,000.00",Climate/Clean Energy,To support research on experiences with Mass Save and capacity building within Boston-based community organizations,7/21/2023,Grants,2023,Climate
,23-35460,23-35460 - Boston Climate Action Network,Boston Climate Action Network,"$100,000.00","$40,000.00",Climate/Climate Resilience,To support research on experiences with Mass Save and capacity building within Boston-based community organizations,7/21/2023,Grants,2023,Climate
,23-35717,23-35717 - Climable,Climable,"$100,000.00","$50,000.00",Climate/Clean Energy,To provide technical assistance on microgrids and resilience hubs in Massachusetts and Rhode Island,10/31/2023,Grants,2023,Climate
,23-35717,23-35717 - Climable,Climable,"$100,000.00","$50,000.00",Climate/Climate Resilience,To provide technical assistance on microgrids and resilience hubs in Massachusetts and Rhode Island,10/31/2023,Grants,2023,Climate
,19-07898,"19-07898 - Solutions Journalism Network, Inc.","Solutions Journalism Network, Inc.","$120,000.00","$30,000.00",Climate/Mobility/Other,"To conduct a community and news media audit, pilot solutions journalism projects, and develop a plan for the next phase",7/1/2019,Grants,2019,Climate
,19-07898,"19-07898 - Solutions Journalism Network, Inc.","Solutions Journalism Network, Inc.","$120,000.00","$30,000.00",Climate/Clean Energy/Other,"To conduct a community and news media audit, pilot solutions journalism projects, and develop a plan for the next phase",7/1/2019,Grants,2019,Climate
,19-07898,"19-07898 - Solutions Journalism Network, Inc.","Solutions Journalism Network, Inc.","$120,000.00","$60,000.00",Education/Building Public Will,"To conduct a community and news media audit, pilot solutions journalism projects, and develop a plan for the next phase",7/1/2019,Grants,2019,Education
,23-35617,23-35617 - Our Climate Education Fund,Our Climate Education Fund,"$120,000.00","$60,000.00",Climate/Climate (Top Level),to support youth leadership and development in the climate movement in Massachusetts,8/30/2023,Grants,2023,Climate
,23-35617,23-35617 - Our Climate Education Fund,Our Climate Education Fund,"$120,000.00","$60,000.00",Climate/Clean Energy,to support youth leadership and development in the climate movement in Massachusetts,8/30/2023,Grants,2023,Climate
,19-08295,"19-08295 - YouthBuild USA, Inc.","YouthBuild USA, Inc.","$150,000.00","$100,000.00",Climate/Clean Energy/Support National and Local Networks,"To support youth grassroots efforts on climate, clean energy, and transit in Massachusetts",1/29/2020,Grants,2020,Climate
,19-08295,"19-08295 - YouthBuild USA, Inc.","YouthBuild USA, Inc.","$150,000.00","$50,000.00",Climate/Mobility/Modernize the Region's Transportation System,"To support youth grassroots efforts on climate, clean energy, and transit in Massachusetts",1/29/2020,Grants,2020,Climate
,18-07093,18-07093 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$160,000.00","$80,000.00",Climate/Mobility/Other,to support the Environmental Fellows Program evaluation and alumni engagement efforts,10/31/2018,Grants,2018,Climate
,18-07093,18-07093 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$160,000.00","$80,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to support the Environmental Fellows Program evaluation and alumni engagement efforts,10/31/2018,Grants,2018,Climate
,20-09030,20-09030 - Sierra Club Foundation,Sierra Club Foundation,"$160,000.00","$10,000.00",Climate/Climate (Top Level),To support grass roots efforts to advance equitable clean energy policies in Massachusetts,1/27/2021,Grants,2021,Climate
,20-09030,20-09030 - Sierra Club Foundation,Sierra Club Foundation,"$160,000.00","$150,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support grass roots efforts to advance equitable clean energy policies in Massachusetts,1/27/2021,Grants,2021,Climate
,20-08675,20-08675 - New World Foundation,New World Foundation,"$170,000.00","$127,500.00",Climate/Clean Energy,To support stabilizing environmental justice and equity-focused organizations impacted by COVID-19,4/30/2020,Grants,2020,Climate
,20-08675,20-08675 - New World Foundation,New World Foundation,"$170,000.00","$21,250.00",Climate/Climate Resilience,To support stabilizing environmental justice and equity-focused organizations impacted by COVID-19,4/30/2020,Grants,2020,Climate
,20-08675,20-08675 - New World Foundation,New World Foundation,"$170,000.00","$21,250.00",Climate/Mobility/Modernize the Region's Transportation System,To support stabilizing environmental justice and equity-focused organizations impacted by COVID-19,4/30/2020,Grants,2020,Climate
,22-34934,22-34934 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$170,000.00","$100,000.00",Climate/Climate (Top Level),To support a Grassroots Coordinator to work on transit-initiatives in the South Shore,6/27/2022,Grants,2022,Climate
,22-34934,22-34934 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$170,000.00","$70,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support a Grassroots Coordinator to work on transit-initiatives in the South Shore,6/27/2022,Grants,2022,Climate
,21-09775,21-09775 - Streetsblog MASS,Streetsblog MASS,"$180,000.00","$120,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support Streetsblog MASS,2/1/2022,Grants,2022,Climate
,21-09775,21-09775 - Streetsblog MASS,Streetsblog MASS,"$180,000.00","$60,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support Streetsblog MASS,2/1/2022,Grants,2022,Climate
,19-08198,"19-08198 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$190,000.00","$125,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To develop a Clean Energy Transition Plan for Holyoke that centers community leadership,12/3/2019,Grants,2019,Climate
,19-08198,"19-08198 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$190,000.00","$65,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To develop a Clean Energy Transition Plan for Holyoke that centers community leadership,12/3/2019,Grants,2019,Climate
,6027,6027 - United Way of Massachusetts Bay and Merrimack Valley,United Way of Massachusetts Bay and Merrimack Valley,"$200,000.00","$100,000.00",Former Education Strategies,To provide operating support as Thrive in 5 pursues its current school-readiness agenda and simultaneously determines its path going forward.,9/16/2015,Grants,2015,Education
,6027,6027 - United Way of Massachusetts Bay and Merrimack Valley,United Way of Massachusetts Bay and Merrimack Valley,"$200,000.00","$100,000.00",Former Education Strategies,To provide operating support as Thrive in 5 pursues its current school-readiness agenda and simultaneously determines its path going forward.,9/16/2015,Grants,2015,Education
,21-09360,"21-09360 - Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","$200,000.00","$50,000.00",Climate/Climate (Top Level),To provide general operating support,6/30/2021,Grants,2021,Climate
,21-09363,"21-09363 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$200,000.00","$150,000.00",Climate/Mobility/Modernize the Region's Transportation System,To provide general operating support,6/30/2021,Grants,2021,Climate
,21-09361,21-09361 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$200,000.00","$50,000.00",Climate/Climate (Top Level),To provide general operating support,6/30/2021,Grants,2021,Climate
,21-09360,"21-09360 - Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","$200,000.00","$150,000.00",Climate/Mobility/Modernize the Region's Transportation System,To provide general operating support,6/30/2021,Grants,2021,Climate
,21-09361,21-09361 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$200,000.00","$150,000.00",Climate/Mobility/Modernize the Region's Transportation System,To provide general operating support,6/30/2021,Grants,2021,Climate
,21-09363,"21-09363 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$200,000.00","$50,000.00",Climate/Climate (Top Level),To provide general operating support,6/30/2021,Grants,2021,Climate
,22-35082,22-35082 - Local Initiatives Support Corporation,Local Initiatives Support Corporation,"$200,000.00","$100,000.00",Climate/Climate (Top Level),To support the DASH coalition?s efforts to strengthen climate-focused affordable housing policies and programs,9/27/2022,Grants,2022,Climate
,22-35082,22-35082 - Local Initiatives Support Corporation,Local Initiatives Support Corporation,"$200,000.00","$100,000.00",Climate/Clean Energy,To support the DASH coalition?s efforts to strengthen climate-focused affordable housing policies and programs,9/27/2022,Grants,2022,Climate
,22-35101,"22-35101 - Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","$200,000.00","$100,000.00",Climate/Climate (Top Level),To support organizational capacity building for climate organizing,9/28/2022,Grants,2022,Climate
,22-35101,"22-35101 - Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","$200,000.00","$100,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support organizational capacity building for climate organizing,9/28/2022,Grants,2022,Climate
,23-35735,23-35735 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$205,000.00","$102,500.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To support the design of a revised COVID-safe cooling program,9/26/2023,Grants,2023,Climate
,23-35735,23-35735 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$205,000.00","$102,500.00",Climate/Clean Energy,To support the design of a revised COVID-safe cooling program,9/26/2023,Grants,2023,Climate
,6651,6651 - Grantmakers for Effective Organizations,Grantmakers for Effective Organizations,"$225,000.00","$36,000.00",Memberships and Sponsorships/Memberships,To provide core operating support,9/21/2016,Grants,2016,Membership
,6651,6651 - Grantmakers for Effective Organizations,Grantmakers for Effective Organizations,"$225,000.00","$189,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To provide core operating support,9/21/2016,Grants,2016,SectorEffect
,18-06967,"18-06967 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$225,000.00","$112,500.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to provide general operating and capacity-building support,9/19/2018,Grants,2018,Climate
,18-06967,"18-06967 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$225,000.00","$112,500.00",Climate/Mobility/Modernize the Region's Transportation System,to provide general operating and capacity-building support,9/19/2018,Grants,2018,Climate
,22-34933,"22-34933 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$225,000.00","$150,000.00",Climate/Climate (Top Level),To support organizational capacity building,6/27/2022,Grants,2022,Climate
,22-34933,"22-34933 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$225,000.00","$75,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support organizational capacity building,6/27/2022,Grants,2022,Climate
,5478,"5478 - Bessie Tartt Wilson Initiative for Children, Inc.","Bessie Tartt Wilson Initiative for Children, Inc.","$250,000.00","$125,000.00",Former Education Strategies,"""Strengthening Early Education and Care in Massachusetts""",9/17/2014,Grants,2014,Education
,5478,"5478 - Bessie Tartt Wilson Initiative for Children, Inc.","Bessie Tartt Wilson Initiative for Children, Inc.","$250,000.00","$125,000.00",Former Education Strategies,"""Strengthening Early Education and Care in Massachusetts""",9/17/2014,Grants,2014,Education
,21-36073,"21-36073 - Community Labor United, Inc.","Community Labor United, Inc.","$250,000.00","$234,375.00",Climate/Mobility/Modernize the Region's Transportation System,To provide core support to Community Labor United,6/30/2021,Grants,2021,Climate
,21-36073,"21-36073 - Community Labor United, Inc.","Community Labor United, Inc.","$250,000.00","$15,625.00",Climate/Climate (Top Level),To provide core support to Community Labor United,6/30/2021,Grants,2021,Climate
,22-35053,22-35053 - New England United for Justice,New England United for Justice,"$260,000.00","$130,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support New England United 4 Justice?s climate and mobility activities,8/29/2022,Grants,2022,Climate
,22-35053,22-35053 - New England United for Justice,New England United for Justice,"$260,000.00","$130,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support New England United 4 Justice?s climate and mobility activities,8/29/2022,Grants,2022,Climate
,23-35517,23-35517 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$260,000.00","$130,000.00",Climate/Mobility/Modernize the Region's Transportation System,to support organizing and advocacy for mobility and climate resilience in Allston and Brighton,6/7/2023,Grants,2023,Climate
,23-35517,23-35517 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$260,000.00","$55,000.00",Climate/Mobility/Develop Low-Carbon Communities,to support organizing and advocacy for mobility and climate resilience in Allston and Brighton,6/7/2023,Grants,2023,Climate
,23-35517,23-35517 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$260,000.00","$75,000.00",Climate/Climate Resilience/Advance Policy and Implementation,to support organizing and advocacy for mobility and climate resilience in Allston and Brighton,6/7/2023,Grants,2023,Climate
,21-09217,21-09217 - Design Studio for Social Intervention,Design Studio for Social Intervention,"$270,000.00","$135,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,To provide strategic planning and core support for its Design Studio for Social Intervention program,6/30/2021,Grants,2021,Arts
,20-09040,"20-09040 - NECEC Institute, Inc.","NECEC Institute, Inc.","$270,000.00","$250,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To expand clean energy in New England by informing policy and regulatory development,3/31/2021,Grants,2021,Climate
,20-09040,"20-09040 - NECEC Institute, Inc.","NECEC Institute, Inc.","$270,000.00","$20,000.00",Climate/Climate (Top Level),To expand clean energy in New England by informing policy and regulatory development,3/31/2021,Grants,2021,Climate
,21-09217,21-09217 - Design Studio for Social Intervention,Design Studio for Social Intervention,"$270,000.00","$135,000.00",Climate/Mobility/Develop Low-Carbon Communities,To provide strategic planning and core support for its Design Studio for Social Intervention program,6/30/2021,Grants,2021,Climate
,22-36067,"22-36067 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","$150,000.00",Climate/Clean Energy,"To provide core support for Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
,22-36067,"22-36067 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","$75,000.00",Climate/Climate Resilience,"To provide core support for Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
,22-36067,"22-36067 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","$50,000.00",Climate/Climate (Top Level),"To provide core support for Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
,22-35109,"22-35109 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","$50,000.00",Climate/Climate (Top Level),"To support Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
,22-35109,"22-35109 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","$150,000.00",Climate/Clean Energy,"To support Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
,22-35109,"22-35109 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","$75,000.00",Climate/Climate Resilience,"To support Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
,17-06451,17-06451 - The Trust for Public Land,The Trust for Public Land,"$290,000.00","$145,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To support green infrastructure in the Metro Mayors?Äô Coalition region,8/1/2017,Grants,2017,Climate
,17-06451,17-06451 - The Trust for Public Land,The Trust for Public Land,"$290,000.00","$145,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support green infrastructure in the Metro Mayors?Äô Coalition region,8/1/2017,Grants,2017,Climate
,19-07931,"19-07931 - University of Massachusetts Foundation, Inc.","University of Massachusetts Foundation, Inc.","$290,000.00","$260,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support Massachusetts business leaders?Äô participation in a series of convenings accompanied by a study trip to northern Europe that will increase their understanding of and ability to communicate with other stakeholders about the economic benefits of clean energy and resilience,10/1/2019,Grants,2019,Climate
,19-07931,"19-07931 - University of Massachusetts Foundation, Inc.","University of Massachusetts Foundation, Inc.","$290,000.00","$30,000.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,To support Massachusetts business leaders?Äô participation in a series of convenings accompanied by a study trip to northern Europe that will increase their understanding of and ability to communicate with other stakeholders about the economic benefits of clean energy and resilience,10/1/2019,Grants,2019,Climate
,18-07490,"18-07490 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","$210,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support energy storage deployment in Massachusetts and collaborative efforts in the region,2/28/2019,Grants,2019,Climate
,18-07490,"18-07490 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","$90,000.00",Climate/Climate Resilience/Advance Policy and Implementation,To support energy storage deployment in Massachusetts and collaborative efforts in the region,2/28/2019,Grants,2019,Climate
,20-09033,"20-09033 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","$90,000.00",Climate/Climate Resilience/Advance Policy and Implementation,To support equitable deployment of energy storage in New England,2/24/2021,Grants,2021,Climate
,20-09033,"20-09033 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","$210,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support equitable deployment of energy storage in New England,2/24/2021,Grants,2021,Climate
,21-09327,"21-09327 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$310,000.00","$50,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To support the Rose Fellowship Program and Spatial Justice Exhibit,7/28/2021,Grants,2021,Climate
,21-09327,"21-09327 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$310,000.00","$240,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support the Rose Fellowship Program and Spatial Justice Exhibit,7/28/2021,Grants,2021,Climate
,21-09327,"21-09327 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$310,000.00","$20,000.00",Climate/Climate (Top Level),To support the Rose Fellowship Program and Spatial Justice Exhibit,7/28/2021,Grants,2021,Climate
,22-35052,"22-35052 - GreenRoots, Inc.","GreenRoots, Inc.","$340,000.00","$27,500.00",Climate/Climate Resilience,To support organizational capacity building,8/29/2022,Grants,2022,Climate
,22-35052,"22-35052 - GreenRoots, Inc.","GreenRoots, Inc.","$340,000.00","$27,500.00",Climate/Clean Energy/Other,To support organizational capacity building,8/29/2022,Grants,2022,Climate
,22-35052,"22-35052 - GreenRoots, Inc.","GreenRoots, Inc.","$340,000.00","$285,000.00",Climate/Mobility/Other,To support organizational capacity building,8/29/2022,Grants,2022,Climate
,5334,"5334 - Oxfam-America, Inc.","Oxfam-America, Inc.","$350,000.00","$175,000.00",Global/Exploratory and Learning/Climate Resilience,Artibonite Valley SRI Expansion Project,6/4/2014,Global Grants,2014,Old
,5334,"5334 - Oxfam-America, Inc.","Oxfam-America, Inc.","$350,000.00","$175,000.00",Global/Sustainable Agriculture,Artibonite Valley SRI Expansion Project,6/4/2014,Global Grants,2014,Old
,20-08799,20-08799 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$350,000.00","$210,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
,20-08799,20-08799 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$350,000.00","$140,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
,20-08802,"20-08802 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$350,000.00","$140,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
,20-08802,"20-08802 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$350,000.00","$210,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
