Organization Name,Docket Record Name,Request Number,Amount (Fund-Coding),Amount (Number),Internal Grant Status,Award Date,Duration (Months),Sponsored Organization: Organization Name,Grant Purpose,Website,Program Areas,Strategies
"PEAK Grantmaking, Inc.","23-35326 - PEAK Grantmaking, Inc.",23-35326,"$9,250.00",9250,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,peakgrantmaking.org,climate,Clean Energy
"Philanthropy Massachusetts, Inc.",23-35338 - Boston Education Funders,23-35338,"$3,000.00",3000,Awarded,1/4/2023,12,Boston Education Funders,To support 2023 Barr Foundation Membership Dues for Boston Education Funders,www.philanthropyma.org,climate,Climate Resilience
Technology Association of Grantmakers,23-35351 - Technology Association of Grantmakers,23-35351,"$5,000.00",5000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,www.tagtech.org,climate,Climate Resilience
Hispanics in Philanthropy,23-35321 - Hispanics in Philanthropy,23-35321,"$15,000.00",15000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation Membership Dues,https://www.hipfunds.org,climate,Climate Resilience
Consultative Group on Biological Diversity,23-35334 - Consultative Group on Biological Diversity,23-35334,"$10,000.00",10000,Awarded,1/4/2023,12,,for 2023 Barr Foundation member support for the Climate and Energy Funders Group (CEFG),http://WWW.BIODIVERSITYFUNDERS.ORG,climate,Climate Resilience
Native Americans in Philanthropy,23-35659 - Native Americans in Philanthropy,23-35659,"$10,000.00",10000,Awarded,6/28/2023,12,,For 2023 Barr Membership Dues,www.nativephilanthropy.org,climate,Clean Energy
"Council on Foundations, Inc.","23-35357 - Council on Foundations, Inc.",23-35357,"$24,000.00",24000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,https://www.cof.org,climate,Mobility
Environmental Grantmakers Association,23-35335 - Environmental Grantmakers Association,23-35335,"$26,000.00",26000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation Membership Dues,http://www.ega.org,climate,Mobility
Asian American-Pacific Islanders in Philanthropy,23-35320 - Asian American-Pacific Islanders in Philanthropy,23-35320,"$10,000.00",10000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation Membership Dues,aapip.org,climate,Mobility
"City Parks Alliance, Inc.","23-35336 - City Parks Alliance, Inc.",23-35336,"$2,500.00",2500,Awarded,1/4/2023,12,,To support 2023 Barr Foundation Membership Dues,www.cityparksalliance.org,climate,Mobility
"Grantmakers Council of Rhode Island, Inc.","23-35347 - Grantmakers Council of Rhode Island, Inc.",23-35347,"$1,500.00",1500,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,,climate,Mobility
Grantmakers for Education,23-35341 - Grantmakers for Education,23-35341,"$10,700.00",10700,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,www.edfunders.org,climate,Mobility
"New England Blacks in Philanthropy, Inc.","23-35342 - New England Blacks in Philanthropy, Inc.",23-35342,"$1,500.00",1500,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,https://www.nebip.org,climate,Mobility
"Philanthropy Massachusetts, Inc.","23-35353 - Philanthropy Massachusetts, Inc.",23-35353,"$22,250.00",22250,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,www.philanthropyma.org,climate,Mobility
National Public Education Support Fund,23-35340 - National Public Education Support Fund,23-35340,"$10,000.00",10000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,http://www.npesf.org,climate,Mobility
Grantmakers for Effective Organizations,23-35359 - Grantmakers for Effective Organizations,23-35359,"$16,000.00",16000,Awarded,1/4/2023,12,,To support 2023 Barr Foundation membership dues,www.geofunders.org,climate,Mobility
Innovation Network for Communities,23-35663 - The Climate Beacon Project Inc.,23-35663,"$10,000.00",10000,Awarded,7/21/2023,6,The Climate Beacon Project Inc.,to support the 2023 Climate Beacon Conference,http://IN4C.NET,climate,Mobility
"Conservation Law Foundation, Inc.","23-35366 - Massachusetts Environmental Education Society, Inc.",23-35366,"$7,500.00",7500,Awarded,2/28/2023,12,"Massachusetts Environmental Education Society, Inc.",to support the Climate Adaptation Forum organized quarterly by the Environmental Business Council of New England and the University of Massachusetts Boston - Sustainable Solutions Lab,www.clf.org,education,Catalyze New Models
Allston Brighton Community Development Corporation,23-35517 - Allston Brighton Health Collaborative,23-35517,"$75,000.00",75000,Awarded,6/7/2023,24,Allston Brighton Health Collaborative,to support organizing and advocacy for mobility and climate resilience in Allston and Brighton,www.allstonbrightoncdc.org,education,Catalyze New Models
"Mystic River Watershed Association, Inc.","23-35480 - Mystic River Watershed Association, Inc.",23-35480,"$1,950,000.00",1950000,Awarded,6/13/2023,36,,"To support projects and efforts to develop climate resilience, greenways, and waterfront access",www.mysticriver.org,education,Catalyze New Models
"Cambridge Community Center, Inc.","23-35646 - Cambridge Community Center, Inc.",23-35646,"$75,000.00",75000,Awarded,7/21/2023,12,,to support the creation of a resilience hub at the Cambridge Community Center,www.cambndgecc.org,education,Catalyze New Models
"Charles River Watershed Association, Inc.","23-35584 - Charles River Watershed Association, Inc.",23-35584,"$600,000.00",600000,Awarded,6/30/2023,24,,To increase the climate resiliency of the Charles River watershed,https://www.crwa.org/,education,Catalyze New Models
Massachusetts Foundation for the Humanities,23-35680 - Massachusetts Foundation for the Humanities,23-35680,"$50,000.00",50000,Awarded,7/21/2023,12,,To provide additional support for Expanding Massachusetts Stories,www.masshumanities.org,education,Catalyze New Models
Clean Water Fund,23-35616 - Clean Water Fund,23-35616,"$75,000.00",75000,Awarded,7/21/2023,12,,to support a youth leadership development pilot to create pathways for youth leadership in the climate and environmental movement in Massachusetts,www.cleanwaterfund.org,education,Catalyze New Models
Hyams Foundation,23-35478 - Hyams Foundation,23-35478,"$775,000.00",775000,Awarded,6/7/2023,24,,To support climate justice movement building infrastructure in MA,www.hyamsfoundation.org,education,Catalyze New Models
"Environmental Defense Fund, Inc.","23-35585 - Environmental Defense Fund, Inc.",23-35585,"$20,000.00",20000,Awarded,6/6/2023,6,,to hire a consultant to support a racial equity peer learning group with other Climate Program grantees,www.edf.org,education,Catalyze New Models
One Square World,23-35654 - One Square World,23-35654,"$900,000.00",900000,Awarded,7/21/2023,36,,to provide general operating support,http://www.onesquareworld.org,education,Catalyze New Models
Amalgamated Charitable Foundation Inc,23-35676 - Communities First Fund,23-35676,"$300,000.00",300000,Awarded,7/21/2023,24,Communities First Fund,"to support regional convenings of federal, state, philanthropic and local leaders on equitable implementation of federal funding",,education,Catalyze New Models
"Northeast Energy Efficiency Partnerships, Inc.","23-35553 - Northeast Energy Efficiency Partnerships, Inc.",23-35553,"$5,000.00",5000,Awarded,6/6/2023,12,,to support conference registration scholarships for the Northeast Energy Efficiency Partnership's 2023 Annual Summit in New Haven,neep.org,education,Catalyze New Models
City of Providence,22-35285 - City of Providence,22-35285,"$30,000.00",30000,Awarded,1/31/2023,12,,To support racial equity training for Sustainability Department staff and key partners,https://www.providenceri.com/,education,Catalyze New Models
Regulatory Assistance Project,22-35283 - Regulatory Assistance Project,22-35283,"$300,000.00",300000,Awarded,1/31/2023,36,,To support clean energy regulatory work in New England,http://WWW.RAPONLINE.ORG,education,Catalyze New Models
